"ID","フェーズ","ユーザー種別","ユーザーの目的","レビュー対象","開始地点","終了地点","私が行う操作","目視確認ポイント","確認する状態","画面サイズ","事前準備","想定時間","優先度","完了条件","ステータス"
"STATE-012","3","受講生","バッジ画面の現状を記録する","/badges","/badges","エラー表示を記録したところ","1. /badges を開く
2. 表示される内容を記録
3. マイページ・プロフィールからこの画面への導線があるか探す","☐ エラーであることが分かる
☐ 何をすればよいか分かる（分からないなら記録）
☐ この画面への導線が現行UIに存在するか判定できる","エラー（🔺 正常表示は現状確認不可）","PC 1440px","ログイン済み","15分","P3","エラー表示のスクリーンショットと導線の有無を記録している","確認可能"
"DEVICE-001","4","受講生","スマホでマイページを使えるか検証する","/mypage","DevTools iPhone SE (375×667)","最下部まで見終えたところ","1. DevTools のデバイスツールバーで 375px 幅にする
2. /mypage をリロード
3. 上から下までスクロールする
4. 横スクロールが発生するか確認
5. 文字が読めるか、ボタンが押せるサイズか確認
6. 「続きからはじめる」を実際に押す","☐ 横方向にはみ出していない
☐ 本文の文字が読めるサイズである
☐ ボタンが指で押せるサイズである
☐ 主アクションが画面内で見つかる
☐ 2カラム構成が縦積みになっている／なっていない
☐ 下部ナビと内容が重なっていない","通常","SP 375px","🧾 このページは折り返さず全体縮小する方式（§1.5-A）","30分","P0","375px の全画面スクリーンショット（縦長）を保存し、6項目に判定を残している","確認可能"
"DEVICE-002","4","受講生","スマホでレッスンを読めるか検証する","/course/202?module=202012","DevTools 375px","完了操作まで到達したところ","1. 375px で /course/202?module=202012 を開く
2. 本文を実際に読む
3. 目次ボタンを押してドロワーを開閉
4. サポートパネル（AI/メモ）を開閉
5. テキスト選択を試す
6. 完了操作まで到達する","☐ 本文が読める幅・文字サイズになっている
☐ 目次ドロワーが本文を邪魔しない
☐ サポートパネルを開いても操作不能にならない
☐ テキスト選択とツールバーがスマホで成立する
☐ 完了ボタンに到達できる
☐ 上部バーの情報が省略されすぎていない","通常","SP 375px","🧾 この画面は1024px境界の別方式（§1.5-B）","30分","P0","本文・目次・サポート各1枚のスクリーンショットを保存し、6項目に判定を残している","確認可能"
"DEVICE-003","4","受講生","スマホで自習室3面を使えるか検証する","/focus-booth, /study-log, /notes","DevTools 375px","3面すべて見終えたところ","1. 375px で /focus-booth を開き、タイマーを開始できるか試す
2. /study-log でグラフが読めるか確認
3. /notes で検索・絞り込みが操作できるか確認
4. 3面のタブ切替がスマホで押せるか確認","☐ 3面とも横にはみ出していない
☐ タイマーの数字とボタンが実用サイズ
☐ グラフが判読できる
☐ 絞り込みのセレクトが操作できる
☐ 自習室タブが押せる
☐ 下部ナビからこの3面に来られるか（🧾 下部ナビに自習室は無い）","通常","SP 375px","🧾 3面とも全体縮小方式（§1.5-A）","30分","P1","3面のスクリーンショットを保存し、6項目に判定を残している","確認可能"
"DEVICE-004","4","受講生","タブレットでの見え方を検証する","主要4画面","DevTools iPad (768×1024)","4画面見終えたところ","1. 768px 幅で /mypage, /courses, /course/203/curriculum, /course/202?module=202012 を開く
2. サイドバーが出るか下部ナビかを確認
3. 各画面の余白・縮小率を観察
4. サイドバーを折りたたんで再確認","☐ 768px でサイドバーが出る
☐ サイドバー展開時に内容が窮屈になっていない
☐ 縮小された文字が読める
☐ 主アクションが見つかる
☐ PC・SPどちらの体験に近いか判断できる","通常","タブレット 768px","ログイン済み","30分","P1","4画面×（サイドバー展開／折りたたみ）のうち代表4枚を保存している","確認可能"
"DEVICE-005","4","受講生","PCの画面幅による差を検証する","主要3画面","ブラウザ幅 1280px","3幅すべて見終えたところ","1. 1280px / 1440px / 1920px で /mypage, /courses, /study-log を見る
2. 1280px で縮小が始まるか確認
3. 1920px で余白の出方を確認
4. サイドバー展開／折りたたみ両方で見る","☐ 1280px で文字が小さくなりすぎない
☐ 1920px で内容が中央に収まり、間延びしていない
☐ サイドバー開閉で内容が破綻しない
☐ 3幅で情報の優先順位が変わらない","通常","PC 1280 / 1440 / 1920","ログイン済み","30分","P2","3幅×1画面の代表スクリーンショットを保存している","確認可能"
"DEVICE-006","4","受講生","スマホから全機能に到達できるか検証する","ナビゲーション全般","DevTools 375px の /mypage","6機能への到達可否を判定したところ","1. 375px でログインし /mypage を開く
2. URLを直接打たずに、下部ナビと画面内リンクだけで次の6つに到達を試みる: 学習コンテンツ／自習室(集中ブース)／コーチング／学習ロードマップ／AIコーチ／ノート
3. 到達できたものとできなかったものを記録
4. 到達手段（何を押したか）を記録","☐ 6機能それぞれ到達できたか判定できる
☐ 到達できた場合、その導線が見つけやすかったか判断できる
☐ 到達できなかった機能を特定できる
☐ PCとSPで使える機能が違うことに気づけるか","通常","SP 375px","🧾 SP下部ナビは3〜4項目のみ（§1.5-C）","15分","P0","6機能の到達可否と手段を一覧で記録している","確認可能"
"CONSISTENCY-001","5","受講生","ボタンの一貫性を検証する","主要8画面","/mypage","8画面を巡り終えたところ","1. /mypage, /courses, /course/:id/curriculum, /course/:id, /study-log, /learning-plan, /coaching, /ai-coach を順に開く（🧾 /focus-booth は廃止され /study-log へリダイレクトする）
2. 各画面の「最も強いボタン」を1つずつスクリーンショットに収める
3. 主ボタン・副ボタン・リンクの3階層が同じルールか比べる","☐ 主ボタンの色・形・サイズが揃っている
☐ 副ボタンとの差が全画面で同じ
☐ ボタンとリンクの区別が全画面で同じ
☐ 無効状態の見え方が揃っている
☐ 同じ意味の操作に同じ文言を使っている","通常","PC 1440px","ログイン済み","30分","P2","8画面のボタン部分のスクリーンショットを1枚にまとめ、5項目に判定を残している","確認可能"
"CONSISTENCY-002","5","受講生","現在地の示し方の一貫性を検証する","ナビ・見出し・パンくず","/mypage","主要画面を巡り終えたところ","1. 各画面でサイドバーのどの項目が点灯するか記録
2. パンくずがある画面／ない画面を記録
3. ページ見出しとナビ項目名が一致するか確認
4. 学習ワークスペースとAIコーチではサイドバーの点灯がどうなるか確認","☐ どの画面でもサイドバーのどこかが点灯している
☐ 点灯項目と画面内容が一致している
☐ パンくずの有無に納得できる
☐ ページ見出しとナビ名が一致している
☐ 深い階層（レッスン）でも現在地が分かる","通常","PC 1440px","ログイン済み","30分","P2","画面ごとの点灯項目一覧を作り、5項目に判定を残している","確認可能"
"CONSISTENCY-003","5","受講生","カードと空状態の一貫性を検証する","一覧系全画面","/courses","5画面を比べ終えたところ","1. /courses, /notes, /coaching, /study-log, /badges のカード表現を比べる（🧾 /courses/category/1 は /courses へリダイレクトするので対象外）
2. 各画面の空状態を作って比べる（作れないものは記録）
3. カードの角丸・影・余白・境界線を比べる","☐ カードの見た目が全画面で揃っている
☐ カード内の情報の並び順に共通ルールがある
☐ 空状態のイラスト／文言／次の行動の3点が揃っている
☐ 空状態を作れなかった画面を特定できている","通常／空","PC 1440px","ログイン済み","30分","P2","5画面のカード比較と空状態の記録を残している","確認可能"
"CONSISTENCY-004","5","受講生","用語と文言の一貫性を検証する","全画面","/courses","用語表を埋め終えたところ","1. 次の用語が各画面でどう呼ばれているか書き出す: コース／単元／レッスン／教材／学習コンテンツ／学習する／自習室／集中ブース／ロードマップ／学習計画
2. サイドバー名とページ見出し名を突き合わせる
3. ボタン文言（はじめる／続きから／続きからはじめる／復習する）の使い分けを書き出す","☐ 同じものが同じ名前で呼ばれている
☐ 階層用語（コース＞単元＞レッスン＞教材）が一貫している
☐ サイドバー名とページ見出しが一致している（🧾 SP下部ナビは「学習する」、サイドバーは「学習コンテンツ」）
☐ ボタン文言の使い分けにルールがある
☐ 敬体・常体が混ざっていない","通常","PC 1440px","ログイン済み","30分","P1","用語対応表（用語×画面）を作成し、5項目に判定を残している","確認可能"
"CONSISTENCY-005","5","受講生","モーダル・トースト・ローディングの一貫性を検証する","全画面","/coaching","5種類を比べ終えたところ","1. モーダルを3つ開く（コーチング同意／会議リンク登録／学習セッションの終了カード）
　🧾 現存するモーダルはこの3つ＋AI要約ダイアログ＋AIコーチのドロワーだけ。旧「教材選択」「環境設定」は廃止済み
2. 閉じ方（×／背景クリック／Esc）が同じか試す
3. トーストの位置・色・表示時間を比べる
4. ローディングのスピナー表現を比べる","☐ モーダルの閉じ方が全画面で同じ
☐ モーダルの見出し・ボタン配置が揃っている
☐ トーストの位置・色・時間が揃っている
☐ ローディング表現が揃っている
☐ モーダルを開いた時に背景が操作できない","通常","PC 1440px","ログイン済み","30分","P2","3モーダル＋トースト＋ローディングのスクリーンショットを保存している","確認可能"
"CONSISTENCY-006","5","受講生","色・余白・アイコンの一貫性を検証する","全画面","/mypage","主要6画面を比べ終えたところ","1. 6画面を並べて、背景色・カード色・文字色を比べる
2. 赤（ブランド色）が使われている箇所を全部書き出す
3. アイコンの線の太さ・サイズが揃っているか見る
4. セクション間の余白が揃っているか見る","☐ 背景・カード・文字の色が揃っている
☐ ブランド色が「重要な1つ」に絞られている
☐ 成功・警告・エラーの色が一貫している
☐ アイコンの様式が揃っている
☐ セクション間の余白が揃っている","通常","PC 1440px","ログイン済み","30分","P3","6画面のスクリーンショットを並べた比較画像を保存している","確認可能"
"CONSISTENCY-007","5","受講生","アカウント・ログアウト導線を検証する","ヘッダー／アカウント設定","/mypage","導線の有無を判定したところ","1. PC 1440px で、ログアウトする方法をURLを打たずに探す（3分以内）
2. サイドバー下部のアカウント行を押して着いた先を確認
3. /account-settings 内にログアウトがあるか確認
4. SP 375px でも同じことを試す
5. 見つからない場合は「見つからなかった」と記録する","☐ ログアウトの入口を3分以内に見つけられたか
☐ アカウント行を押した先が予想と一致したか
☐ アカウント設定とプロフィール編集の役割分担が分かる
☐ SPでもアカウント設定に到達できる","通常","PC 1440px ＋ SP 375px","🧾 現行画面にログアウトUIは存在しない（§1.5-D）","15分","P1","探索にかかった時間と結果（見つかった／見つからない）を記録している","確認可能"
