"指摘ID","分類","記入者","レビュータスクID","ユーザー種別","ユーザーの目的","画面","幅","操作","期待したこと","実際に起きたこと","迷い・違和感","ユーザーへの影響","重大度","改善案","スクリーンショット","備考"
"CL-B48","B","Claude","DEVICE-003","受講生","30日間の学習時間を日ごとに見る","/study-log","390","棒をタップする","数値が出る","この2タブは値ラベルを出さず title 属性だけなので、タッチでは1本も数値が読めない","数値を読む方法が無い","スマホで30日・3ヶ月の内訳が読めない","中","タップで選択中の棒の値をグラフ上部に出す","","StudyRecordPanel.tsx:201,232,533"
"CL-B49","B","Claude","SCREEN-007","受講生","学習しなかった日を見る","/study-log","全幅","短い棒を見比べる","0分と1分が区別できる","0分=2px、1分=3px で差が1px","見分けられない","0分の日が分からない","低","0分は棒を出さず、軸上に点を置くなど別の形にする","","StudyRecordPanel.tsx:526-528"
"CL-B50","B","Claude","SCREEN-008","受講生","ノートにクリップを足す","/notes","全幅","ノートを開いて「クリップを追加」を押す","このノートに足す方法が分かる","トーストを1つ出したあと、確認も取り消しも無く教材ページ（または /courses）へ即座に遷移する","押した覚えのない移動が起きる","書いていたノートから連れ出される","高","その場に説明を出すだけにし、遷移は「教材を開く」という別のボタンに分ける","","MyNotesPage.tsx:163-177"
"CL-B51","B","Claude","SCREEN-008","受講生","ノートを読んで一覧に戻る","/notes","全幅","ノートを開いてブラウザの戻るを押す","一覧に戻る","setSearchParams に replace:true が付いているため履歴が積まれず、直前の別ページへ飛ぶ","一覧に戻れずマイページ等に出てしまう","ノートを見比べる操作が毎回やり直しになる","中","replace を外す（教材からの直リンクは壊れない）","","MyNotesPage.tsx:61-66"
"CL-B52","B","Claude","CONSISTENCY-006","受講生","ノートを並び替える","/notes","全幅","検索欄の右のアイコンを見る","並び替えだと分かる","SlidersHorizontal は一般に絞り込みの記号で、すぐ下に本物の絞り込みチップが並んでいる","役割が入れ替わって見える","並び替えに気づかない","低","ArrowUpDown にする","","MyNotesPage.tsx:338"
"CL-B53","B","Claude","STATE-003","受講生","絞り込み中の件数を確認する","/notes","全幅","チップで絞り込む","件数が1つ","NoteGrid には全件（list.items.length）、ページャには絞り込み後（filtered.length）が渡っている","2つの件数が食い違う","件数を信用できない","低","どちらも filtered.length にする","","MyNotesPage.tsx:457-476"
"CL-B54","B","Claude","SCREEN-010","受講生","過去のコーチング記録を読んで一覧に戻る","/coaching","全幅","記録を開いてブラウザの戻るを押す","一覧に戻る","状態が mode state だけでURLに無いため、ページごと離脱する。リロードでも一覧に戻り、記録のURL共有もできない","戻ったつもりが画面から出ている","記録を見比べる・共有する操作ができない","高","?session=<id>&view=review をURLに持つ（/notes の ?note= と同じ作法）","","CoachingNotesPage.tsx:37-42,90,339-355"
"CL-B55","B","Claude","FLOW-009","受講生","コーチングに参加する","/coaching","全幅","「参加する」を押す","会議が別タブで開く","await の後に window.open を呼ぶためポップアップブロックの対象で、LMSは記録中になったのに会議が開かないことがある","開かない理由が分からない","面談に入れないまま記録が始まる","中","セッション開始前に開く。または RecordingStatus に「会議を開く」リンクを常設する","","CoachingNotesPage.tsx:281-298 / RecordingStatus.tsx:55 に既存リンクあり"
"CL-B56","B","Claude","CONSISTENCY-006","受講生","記録を開く","/coaching","1920","一覧から記録を開く","幅が変わらない","--wc-page-max が一覧1080px・それ以外860pxで、開くたびに本文幅が跳ねる","レイアウトが動いて見える","視線の置き場が変わる","中","モードで幅を変えない","","CoachingNotesPage.tsx:384"
"CL-B57","B","Claude","STATE-007","受講生","コーチング情報の取得に失敗する","/coaching","全幅","通信が失敗する状態で開く","失敗と再試行が画面に残る","トースト（3秒）だけで、その後の画面は「予定なし・履歴なし」と見分けが付かない。再試行ボタンも無い","データが無いのか失敗したのか分からない","予定を見落とす","低","ErrorState を置いて再試行を出す","","CoachingNotesPage.tsx:126-130,402-404"
"CL-B58","B","Claude","CONSISTENCY-007","受講生","ログアウトする","/account-settings","全幅","右下のテキストを押す","確認が出る","--dc-text-subtle（2.68:1）の13pxテキストで、押すと確認なしで即ログアウト","文字が読みにくく、押した瞬間に終わる","誤操作で意図せずログアウトする","中","文字色を --dc-text-body にし、押したら確認を1回出す","","AccountSettingsPage.tsx:485-500"
"CL-B59","B","Claude","SCREEN-013","受講生","メールアドレスを変更する","/account-settings","390","確認コードを待つ・入力する","届かないときの手段がある","再送ボタンも「届かないとき」の案内も無い。type=text なので数字キーパッドが出ない。「アドレスを直す」で戻ると入力済みコードが捨てられる","コードが来ないと詰む","メールアドレスを変更できないことがある","中","inputMode=numeric autoComplete=one-time-code を付け「コードを再送する」を足す","","AccountSettingsPage.tsx:364-392"
"CL-B60","B","Claude","STATE-011","受講生","変更の失敗を知る","/account-settings","全幅","誤ったパスワードで変更する","失敗が知らされる","成功の notice には role=status があるがエラーは素のdiv","同じ画面で片方だけ読み上げられる","読み上げ環境で失敗に気づけない","低","エラーに role=alert を付ける","","AccountSettingsPage.tsx:252,357,378,471"
"CL-B61","B","Claude","CONSISTENCY-006","受講生","マイページから設定へ移動する","/account-settings","1920","見出しの位置を見る","同じ位置から始まる","padding が 44px 36px 24px の直書きで、マイページは幅に連動するトークン","見出しの開始位置がずれる","移動時に位置が動いて見える","低","--dc-sp-page-x / --dc-sp-page-y を使う","","AccountSettingsPage.tsx:244 / MyPage.tsx:137"
"CL-B62","B","Claude","","受講生","学習時間が記録されない原因を調べる","/help/manual, /help/faq","全幅","FAQとマニュアルを読む","現在の画面の手順が書いてある","廃止済みの「集中ブース」が1節まるごと残り、左の目次・上部KPI帯・次回コーチング目標カード・学習計画の入口など存在しないUIを10箇所以上説明している","書いてある画面が見つからない","ヘルプを読むほど迷う","高","実画面に合わせて全面改稿し、READMEに「UIを直したらヘルプ本文も直す」を運用ルールとして書く","","HelpPage.tsx:27-177 / routes/index.tsx:243-246。ずれの一覧は findings md の CL-B62 を参照"
"CL-B63","B","Claude","DEVICE-006","受講生","スマホで使い方を読む","/help/manual","390","入口を探す","ヘルプへのリンクがある","リンクはPCの展開パネル下部（hidden sm:flex）だけ","入口が無い","スマホからヘルプに行けない","中","CL-A11 の「その他」に入れる","","AppHeader.tsx:574-577"
"CL-B64","B","Claude","SCREEN-009","受講生","学習ロードマップを見る","/learning-plan","全幅","ヘルプの案内どおりコーチング画面で「学習計画 / 現在地」を探す","入口がある","遷移を持つのは import 0 の死んだ部品 RoadmapStrip だけで、UIから到達できない。それなのにサイドバーは /learning-plan で点灯し、ヘルプは使い方を説明している","あると書かれているのに見つからない","663行の機能に一切到達できない","高","(a)コーチングページに入口を作る (b)機能を凍結して点灯判定とヘルプ§7も消す のどちらかに決着させる","","RoadmapStrip.tsx:98,140（import元0） / AppHeader.tsx:106-107 / HelpPage.tsx:91-99。SCREEN-009/STATE-002/FLOW-007/FLOW-008 は現状URL直打ちでしか実施できない"
"CL-B65","B","Claude","STATE-012","受講生","獲得したバッジを見る","/badges","全幅","入口を探す","どこかにバッジへのリンクがある","リンクを持つ RecommendBadgeCard と ProfileSection がどちらも import 0","入口が無い","バッジ画面に到達できない","中","CL-B64 と同じ判断（入口を作るか凍結する）を並べて行う","","RecommendBadgeCard.tsx:43 / ProfileSection.tsx:79"
"CL-B66","B","Claude","","（開発）","画面の生死を判断する","（コード）","全幅","mypage/ の部品を読む","使われている部品だけがある","StatsStrip / QuestCard / CampaignBanner / LearningStreakCard / NextCoachingCardContainer / NextBadgeCard / RecommendBadgeCard / ProfileSection / GuildLobby の9件が import 0","生きているのか死んでいるのか毎回調べる","レビュー母数と検索ノイズが増える","低","凍結ディレクトリへ移すか削除する（screen-inventory.csv の LEG-01〜05 と同じ扱い）","","各ファイルの import 元を grep で確認（すべて0）"
